"","title","username","date","stars","content"
"51","The Departed","bkoganbing","7 December 2009",1010,"When The Departed finally gained for Martin Scorsese a Best Director Oscar it was felt it might have been for the work of a lifetime. It's not my favorite Scorsese film, that honor belongs to Casino for me. But it certainly was the Best Film of that year as well, rivaled in my humble opinion by Blood Diamond.Instead of an Italian atmosphere for The Departed, Scorsese decided to use the Boston Irish who are the dominant group of that city in everything including crime. The film is simple enough, the police want to take down organized crime kingpin Jack Nicholson who plays a character named Frank Costello. That was Scorsese's little joke because the real Frank Costello was one of the Mafia overlords back in the day, although his real name was an Italian one.Nicholson's character is based on Whitey Bulger who was the real life organized crime chieftain of the Boston area. He came from a really interesting family because a brother of his William Bulger had a long political career that culminated in that Bulger being elected President of the Massachusetts State Senate. I didn't add the word distinguished because scandal crept around that man all his life.Getting this man won't be easy because he has a full bag of tricks. One of them being that years ago he put a young man played by Matt Damon through the Boston Police Academy, concealing a juvenile record and Damon moved gradually up the ranks and got to work in the Boston PD Internal Affairs Division. A great spot for a mole to keep an eye on pending investigations.But the Boston PD has put one of their own undercover in the person of Leonardo DiCaprio whose family knows Nicholson from the neighborhood. At that point the whole film becomes a cat and mouse game on both sides with each having their informants on the other side. There are no dummies on either side, the police aren't keystone cops and the criminals as shrewd and brutal as they come. Scorsese probably had a lot of help in having both Matt Damon and Mark Wahlberg in the cast. Both of these players are well known for their Boston roots and they fit really well into their parts. Mark Wahlberg for his role as one of the task force trying to take Nicholson down got an Oscar nomination for Best Supporting Actor. He lost to Alan Arkin for Little Miss Sunshine. Wahlberg was the only one who came up short at Oscar time. The Departed won additional Oscars for Best Adapted Screenplay and Best Film Editing to go with the Best Picture And Best Director Oscars for Scorsese. Leonardo DiCaprio had a career year, he might have been nominated himself if he wasn't up for Best Actor in Blood Diamond.The real Whitey Bulger is 80 years old now and in real life he was as full of tricks as Nicholson's character is in the film. If you think you know how this film ends, I guarantee you will be wrong. Nicholson's character has survived in many ways, that's all I can say.Scorsese has a nice feel for Boston's atmosphere, as good as what he had for Goodfellas in New York and Casino in Las Vegas. He assembled a great cast of people who all got a crack at working with one of the best film directors of all time. The cast didn't let Martin down at Oscar time and they won't let you down when you see it on the big screen or the small."
"52","The Departed","Leofwine_draca","19 June 2016",1010,"Martin Scorsese returns to familiar territory with this story of the lives of cops and gangsters living in America. However, a few things are different this time around – it's Irish gangsters rather than Italian, and for the first time in his life, Scorsese is shooting a remake, of the Hong Kong film INFERNAL AFFAIRS. I haven't yet watched the original film but I'm pleased to say that THE DEPARTED is an example of the director at the top of his game and I'm completely satisfied that he finally won his best director Oscar for his efforts here.To say too much would be to spoil the experience. Cinematography is spot on and the ensemble cast fantastic – headlined by DiCaprio, playing it on the edge as the undercover cop, and Damon as the hateful cool cucumber, a con on the inside. Jack Nicholson plays it OVER the edge as a past-his-prime gangster; gradually losing his marbles in a world of violence, while Ray Winstone's heavy is another weighty performance from this underrated star. Kudos to newcomer Vera Farmiga for holding her own among the established talent and Martin Sheen for taking a small role and running away with it. Mark Wahlberg also deserves mention for his Oscar-nominated supporting role as a foul-mouthed cop, the best of his career.The plot twists and turns and is chock-full of Scorsese's trademark violence, with bloody shootings and beatings taking place throughout. The story is complex, forcing the viewer to give the film their full attention, so the 2 ½ hours just fly by as you're watching it. Things culminate in what I think is a very effective, brutal, shocking, sudden climax, which some people have criticised as being too rushed and too violent, but which I think is perfectly realistic, an example of how a house of cards can come tumbling down so suddenly. A perfect ending to a perfect film – and a must for all fans of twisty thrillers and gangster flicks."
"53","The Departed","James_Denton","23 November 2020",1010,"Blood Diamond (2006) was the film which turned me into a fan of Leonardo DiCaprio, and he must have been on a roll that year as The Departed (2006) was not only made that year, but is just as good as Blood Diamond with again phenomenal acting from almost all.The good and the bad:
The film is 14 years old at the point of writing this, and is still as good as the day it was released first saw it.The acting is phenomenal with the award (in my opinion) going to Leonardo DiCaprio .One of the beauties about this film is: Just as you think you've grasped what is going on it throws another twist in.The only let down for me (and it is minor irritation) was Matt Damon, whom I'm not a fan of or his acting.With all the great reviews it should do without saying that The Departed (2006) is outstanding! A fantastic great story, with twists and turns and that will keep you guessing to the end - and even then you will mostly have guessed wrongly.The film has it all... suspense, thrills and tense moments... the brilliance of the The Departed (2006) cannot be overstated. A must watch!So this is one of those rare moments where 10 out of 10 is deserved.Recommended."
"54","The Departed","Sleepin_Dragon","27 September 2023",1010,"Boston Police are trying to bring down Gangland boss Frank Costello, Billy Costigan goes undercover to try and nail him from the inside, but his actions are countered by Colin Sullivan, a criminal who has infiltrated The Police, handing information to Costello.This film doesn't date, as I'm watching it, it is now seventeen years old, and apart from the flip top phones, oxycontin, and the fresh faces of DiCaprio and Damon, it has hardly dated.Intense, fast paced, gritty and violent, it doesn't hold back for one second, I'd place The Departed in my top ten list of greatest films. The action sequences are tremendous, and there's a subtle humour rubbing through it. Even if this film doesn't quite fit into your favourite genre bracket, I suggest you still watch, it's an incredible movie.It's one of those films that gets better with subsequent viewings, you may struggle to put some of the pieces together first time round, knowing what's happening only seems to make it more satisfying.The cast, has there ever been a more incredible cast assembled, it's a tour de force from Jack Nicholson, but Damon, DiCaprio, Winstone, and many more are all fantastic.10/10."
"55","The Departed","MaxBorg89","31 October 2006",1010,"He has made good musicals (New York, New York), surreal comedies (After Hours), satires (The King of Comedy) and biopics (The Aviator), but Martin Scorsese has never done better than the times he's dealt with life on the streets and gangsters. Mean Streets, Goodfellas and Casino (and, to some degree, Taxi Driver) are proof of that. It doesn't seem strange, then, that his finest film in over a decade (Goodfellas was released in 1990) sees him return to that familiar ground. With a few changes.The Departed, based on Hong Kong thriller Infernal Affairs (2002), is Scorsese's first gangster film not to feature Italian-American criminals. In fact, this film is set in Boston, where the Irish rule. One of these ""godfathers"" is Frank Costello (Jack Nicholson), the man the State Police want the most. After years of investigation, they're finally getting close, thanks to undercover agent Billy Costigan (Leonardo Di Caprio). Because of his family (all Irish, all bad), becoming a member of Costello's crew isn't that difficult. Now all Costigan has to do is report to his superiors, Queenan (Martin Sheen) and Dignam (Mark Wahlberg), who will pass on the information to Ellerby's (Alec Baldwin) Special Investigations Unit. What they don't know is that Colin Sullivan (Matt Damon), the most promising element of said unit, has been on Costello's payroll since he was 12. Soon enough, both cops and crooks become aware of the situation, beginning a manhunt that's gonna make the already fragile Billy even more nervous and Costello increasingly crazier.By moving from Hong Kong to Boston, Scorsese and screenwriter William Monahan have made the first step in ensuring this film will be quite different from its Chinese inspiration. Another significant factor is the running time: a mere 97 minutes for Infernal Affairs, 150 for The Departed. This is due to new characters (Dignam and Costello's henchman Mr French, played by Ray Winstone, were missing in the original) and subplots, such as the one concerning Madolyn (Vera Farmiga), a psychiatrist who gets emotionally involved with both of the moles. But the most crucial difference is in the depiction of the underworld: whereas IA was stylish without being excessive, Scorsese's vision comprises very colorful language (some insults are so creative one might expect Joe Pesci to show up) and, of course, buckets of blood, the last part of the movie proving to be particularly shocking. None of the scenes ever reach the gross-out level of Casino's head-in-the-vice scene, but in pure Scorsese tradition it remains unflinchingly violent (also notable is the music, perfectly setting the mood, scene after scene, alongside Thelma Schoonmaker's impeccable editing).Amidst these brutal surroundings, the director handles a spot-on cast: Baldwin, Sheen and Wahlberg (the latter finally back on form) make good use of their little screen time, Damon fine-tunes the edgier side he showed in The Talented Mr Ripley and the Bourne movies, and Nicholson, playing the villain again at last, delivers another OTT but classy turn (original choice Robert De Niro would probably have played the part with more calm and subtlety). A special mention is needed for Di Caprio: working with Scorsese for the third consecutive time, he has finally found a way to shake off his Titanic image, thanks to a vulnerable, gripping (and arguably career-best) performance.With its clever plot, excellent acting and expert direction, The Departed is without doubt the year's best film so far. If this really is going to be his last gangster film (he has said so), as well as his last studio-endorsed picture, Scorsese can be proud, given the masterpiece he has given us. If only they gave him the Oscar in return..."
"56","The Departed","Billy_Costigan","28 January 2009",NA,"First off, this is an American stylized remake of the Hong Kong hit, Infernal Affairs. I have to give credit to that, a good film. I have seen both Infernal Affairs and The Departed. I personally prefer The Departed, and I think because of one thing: Martin Scorsese. This is the master behind such greats as Taxi Diver, Raging Bull, Goodfellas, and he's at it again. The film has an all star cast with Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, and Alec Baldwin.The Direction was amazing. (maybe one of the reasons why he won the Oscar for it) I loved how some of the scenes were shot and set up. Especially regarding the Chinatown, and police interrogation scenes, among many others. The film is perfectly set up with intense, suspense scenes while adding in amounts humor at times. It works really well. The script is top notch. (Also Oscar winning) Realistic strong dialogue from scene to scene.Another thing I liked more in The Departed, as opposed to Infernal Affairs, was the acting. DiCaprio really seemed to earn a lot of respect from this role. Here, he takes on the tough guy persona so well. Sure it was known he was a good actor from his Oscar nominated performances in What's Eating Gilbert Grape and The Aviator, but he really takes it to another level here. I can't see anyone else as the character, he fits so perfectly with it. Matt Damon and Mark Wahlberg, being Massachusetts natives, also give solid performances, with their natural accents. Nicholson works well in his role, as well. Everyone was extremely solid and everything seemed so real.Set in Boston, The Departed takes in all the Boston like atmosphere. Beautifully shot scenes of the Massachusetts Golden Dome State Capital building is just one part of the landscape. The Dropkick Murphys song ""I'm Shipping up to Boston"" really fits, great use of songs. Scorsese usually works music into his films really well.""Cops or Criminals. When you're facing a loaded gun what's the difference?"" This quote really represents the film."" Matt Damon plays a state officer in the Police, working for the crime boss of the area, Frank Costello (Nicholson). While Damon's character can be described as a ""bad guy,"" he is really misunderstood. As a kid, he is sort of mentored into crime business by Costello while Costello becomes the father figure Damon's character never had. Leonardo DiCaprio plays a young guy, coming from a bad, crime ridden family. He's decides to become a police officer to get away from the crime life he's been surrounded by. Taking all this into account, Captain Queenen (Sheen) and Seargent Dignam (Wahlberg) decide to send DiCaprio's character undercover to find out more about the criminal underworld and Costello. With his family's crime record, he fit's perfectly into the situation. Now you have a highly ranked officer working for bad guy, and an undercover cop in the criminal underworld working for the State Police. From here it's an all out suspenseful thrill ride. Who's who? Who's working for who? Who can you trust? Paranoia threatens everyone. Lies. Betrayal. Sacrifice. How far will you take it? At the heart of this film is character development. We really feel for the characters. We feel like we know them. It's really amazing part of this story and film. Tremendous story telling here.This is one of the most entertaining and suspenseful crime/drama's I have seen in a while. While Infernal Affairs, came first, I think The Departed expands on it in so many ways. Really solid crime/drama. Check both out when you get a chance. It's really worth it. 9/10"
"57","The Departed","Alwood","3 October 2006",1010,"Please don't make negative comments like some of the aforementioned people have been doing if you haven't seen the film yet! I have seen it, at a press screening last week. Not only is it the best film of the year so far, it marks a return to form for Martin Scorsese, and ranks with the likes of GOODFELLAS as being one of the best in his canon of films.I'm a fan of the Hong Kong film, INFERNAL AFFAIRS, upon which this is based. While THE DEPARTED keeps the basic structure of the original, it is very much its own movie, so much so that the screenwriter, William Monahan, didn't even watch the original film while adapting its screenplay, thus enabling him to infuse the script with his, and Scorsese's, respective visions.All the actors are first-rate (yes, even Leo, for all you DiCaprio bashers out there), and turn in some of their best performances to date. THE DEPARTED is sure to garner a host of Oscar nods, if not wins, including (hopefully) Scorsese's long-overdue statuette for Best Director. Plus, with actors like Martin Sheen and Alec Baldwin playing supporting roles, that says a lot about the quality of the film they signed up for! THE DEPARTED is tough stuff, not for the faint-of-heart. That said, it is a must-see for adult viewers who long for intelligent, gritty stories to grace our movie screens once again."
"58","The Departed","awvknj","13 August 2022",1010,"I swear I thought I had seen this before and knew it was a good movie how could it not be with this cast so this must've been my second time through but I honestly did not remember the plot it was like seeing it for the very first time I was so caught up and enthralled in who was zooming who this movie definitely is one of my all-time favorites and I think it gets better every time you watch it the performances are totally stellar. So many great lines in this movie two classics !! One of my favorites ""this is not reality TV""."
"59","The Departed","jackgdemoss","2 July 2019",810,"Nicholson, Damon, and Dicaprio make for an absolute powerhouse trio in this classic film. I have had this on my watch list for quite some time, and although it wasn't as rock solid as I was expecting, it's ending was right up my alley. Aside from the phenomenal acting and the satisfying conclusion, I was only impressed with the simplicity of which a complex double-rat story was told. I never felt lost trying to keep track of who worked for who and who was spying on who, because the filmmakers laid it out so clearly for me."
"60","The Departed","General_Turgidson","2 October 2006",1010,"Now I know that 'The Departed' is based off of the Hong Kong movie 'WuJianDao', but Scorsese really grabs hold of a great story and brings it to the American Screen. My father grew up in Boston and when we walked out of the theater he couldn't stop talking about how authentic the environment and attitude was. Then there's the acting in which the lead actors (Nicholson, DiCaprio, Damon) not only give stunningly entertaining performances, but you become engulfed in each one's perspective and dilemmas. The smaller roles that of (Baldwin, Walberg, Sheen) are supporting roles that remind me of Jesus Quintana from 'The Big Lebowski', by this I mean that their screen time is limited but they make lasting impressions that you cherish each and every scene they are in, Alec Baldwin especially. The story itself starts off with the basic intro of the players and the setting, but you'll find yourself slowing following each and every plot twist and rooting back and forth for the good guys and for the bad guys. If you're a Scorsese fan, which I am, I think you will appreciate this film. You can clearly see the Scorsese touch ranging from the cinematography and of course the music, it's great to hear ""Gimme Shelter"" again, but ""Comfortably Numb"" played in so well. It's another gangster flick from Scorsese, yet this one stands alone because feels so fresh and most would agree Scorsese does gangster films the best; so why not let him. Oscar worthy, the acting I certainly hope; this is DiCaprio's best role since 'The Aviator' which was his best role since 'Gangs of New York', am I seeing a pattern here. But my lasting impression wasn't concerned with the politics of the golden statue; my lasting impression was that I had sat through 2 and half hours of brilliant and especially entertaining storytelling. Thank you Mr. Scorsese."
"61","The Departed","Theo Robertson","23 March 2007",710,"I had massive expectations for THE DEPARTED , a violent mob drama directed by Martin Scorsese the greatest film maker in the world today . After seeing it I did have a slight of feeling of something I have experienced throughout my life - Disappointment ***** SPOILERS ******The film starts in typical Scorsese style of a sweeping framing sequence with a musical soundtrack by The Rolling Stones similar to the work he did in GOODFELLAS . Unfortunately the director doesn't sustain this and whilst never becoming mediocre we don't see much in the way of what cinematic beauty Scorsese is capable of and in several scenes most notably in the death of Queennan the original film INFERNAL AFFAIRS did it far more better THE DEPARTED suffers from a very uneven screenplay courtesy of William Monahan . When it's bad it's woeful but when it's good it's great . It should be pointed out however that when it's good it's entirely down to Siu Fia Mak's original script and if you've seen INFERNAL AFFAIRS you'll notice how tight the storytelling was and how loose and cluttered Monahan's adaptation is in comparison . Did we really need a romantic subplot ? And there seems a lack of thought put into Costello . He's spent years as a crime boss so how come it appears it's only now that the Boston police department have come up with the bright idea of putting several moles into Costello's crew ? Are we to seriously believe that Costello is being protected for < Plot revelation that I won't give away > , and just because a tough gangster likes opera that doesn't make him multi layered , it just makes him clichéd and unconvincing . Most ridiculous scene is where Costello meets his police mole in the cinema . If it's a clandestine meeting then why does Costello draw attention to himself by grunting and pulling out his penis ? Possibly the most stupid sequence I've ever seen in a Scorsese film There's been many other criticisms of this movie , a movie that seems to have split the critics right down the middle . One is the cast . I do think DiCaprio is a much better actor than what he's given credit for but I was never entirely convinced when he has to dish out violence . Someone a little less pretty should have been cast while you're left with the impression that Deniro and Pesci were first choices for Costello rather than Nicholson . Damon does merely okay as Sullivan while Ray Winstone as French is somewhat distracting because he's a widely regarded actor and household name in Britain and seeing him attempt an American accent is something of a shock to the system . The one performance I wasn't keen on was Mark Wahlberg as Dignam down to the fact he plays one of those fast talking foul mouthed cops that we've seen in far too many films and HBO series. Perhaps I'm being somewhat harsh to the cast in general and Wahlberg in particular because the dialog in Monahan's screenplay contains far too much swearing . Yeah I know swearing exists in real life but it's almost like it's included in every line just so the audience know that it's a hard hitting adult drama . I think everyone knew that when we saw the name Scorsese in the title . No need to over egg the pudding or include a fist fight every few minutes otherwise someone might think they're watching a Tarintino movie As for the good points ... well if you've liked most of this great auteur's movies then you'll certainly like THE DEPARTED , just not as much as you've liked Scorses's previous output . If you have loved most of Scorsese's films then you'll be slightly disappointed . It's not helped by the fact that this is the first movie directed by Scorsese to pick up the Oscar for best film where as master works like TAXI DRIVER , RAGING BULL and GOODFELLAS didn't"
"62","The Departed","damianphelps","5 October 2020",810,"I think I would enjoy a Scorsese movie about making butter!He's a genius and we are all lucky to have him.Its a good story (a remake) that is largely swept to great heights by the performances of the cast.There are over 2000 review for this movie so I don't think I need to add much.Its really great entertainment that won't let you down.Enjoy!"
"63","The Departed","Jay_Exiomo","4 October 2006",1010,"Director Martin Scorsese's ""The Departed"", a gangster flick based from the Hong Kong thriller ""Internal Affairs"", goes without saying as perhaps his best work since ""Goodfellas."" Working on a genre that's right up his territory, Scorsese is back on top of his game and recreates a new dimension to the genre. This crime thriller treads the same theme as much of its director's previous films does. It's about two young men, the people around them, and the complications brought about by their characters' ambiguity.Set in Boston, the Massachusetts State Police sends young cop Billy Costigan (Leonardo DiCaprio) to go undercover and infiltrate an Irish mob syndicate where he quickly earns the trust of leader Frank Costello (Jack Nicholson). Meanwhile, Costello's informant Collin Sullivan (Matt Damon) works for the police department's Special Investigation Unit. Soon, stakes are raised when both the police and the mob realize there's a traitor among them, and that both Billy and Collin are both in danger of losing their cover and even their lives.Nicholson, yet again playing another villain, owns every scene he's in with his portrayal of Costello, providing a paradoxical attraction to his menacing character. DiCaprio, increasingly maturing as an actor since becoming Scorsese's ""muse"", fits right in as the streetwise cop, while Damon brings his usual authoritatively calm demeanor to the part. They are complemented by the ensemble performances of Martin Sheen, Alec Baldwin, Mark Wahlberg and Vera Farmiga.Scriptwriter William Monahan (""Kingdom of Heaven"") retains much of the structure of ""Internal Affairs"" but adds depth to its characters and an acerbic quality to its witty dialog. The cinematography by Michael Ballhaus is brooding and morbid, capturing the character of its Boston setting while Howard Shore's score is as good as a soundtrack can be.At its core, ""The Departed"" is a well-crafted, well-written, and well-acted film noir. In an age where style usually triumphs over the narrative quality, ""The Departed"" is one of the best films I have seen so far in recent memory."
"64","The Departed","JohnDeSando","4 October 2006",NA,"""The heaven sets spies upon us, will not have Our contract celebrated."" Shakespeare, The Winter's taleIt's not Taxi Driver or even Goodfellas, but Martin Scorsese's Departed is one of the year's best films and one of his best, after his 2 or 3 indisputable classics such as Raging Bull. The director has assembled a first-rate cast, who, right down to Jack Nicholson as mobster kingpin Frank Costello, are having a great time nudging each other's performances toward excellence through collaboration.Remade from a 2002 Hong Kong smash called Infernal Affairs, The Departed tells of moles within the Boston State Police Department and the South Boston Irish-American mob. When the director opens the film with Costello's brief narration and the Stones' Gimme Shelter for background music, we're in for a whole lot of no shelter for anyone and uncommon acting for everyone. The set up is just complex enough to act as a metaphor for the nasty workings of the United Nations, Iraqi Assembly, and US Congress. Billy Costigan (Leonardo DiCaprio) willingly serves as a mole in the South Boston Irish-American mob for the State Police, while Colin Sullivan (Matt Damon) does the same in the State Police for the mob.Amongst the intertwining machinations of cell phones and lies is a triangle with those two operatives and a psychologist Madolyn (Vera Farmiga), as well played by the three as could be hoped for in such a trumped-up situation that provides little sexual payoff for audience voyeurs and many scratched heads for those who enjoy well-structured plots. This triangle is the only disappointment in a film layered expertly to show how intertwined crime and punishment can be in a world last laid bare by Clint Eastwood's Oscar-winning Mystic River (2003).Cinematographer Michael Ballhaus and production designer Kristie Zea are winning collaborators with the director for a look that is authentic (I worked in South Boston for 3 years), crisp, and dark. But in the end the film belongs to the actors, chief among them DiCaprio as a young Scorsese acolyte showing the master's handiwork after 3 films with him. And Matt Damon has never been better in his hometown, as has fellow South Bostonian Mark Wahlberg in his role as a detective with a barbed tongue and equally sharp intuition.Welcome back, Martin S. The Departed may not win you an Oscar, but it does guarantee you never will be ""departed"" from the pantheon of premiere American directors."
"65","The Departed","Jackblyth8","23 July 2022",1010,"Arguably Martin Scorsese's most action-driven production sees a high brow cast rise to their assignments and add their own special touches on an already glossed finished product - The Departed is simply flawless.An undercover agent and a spy constantly try to counter-attack each other in order to save themselves from being exposed in front of the authorities. Meanwhile, both try to infiltrate an Irish gang.The Scorsese collection is a breathtaking phenomenon, epitomising his dedication and class in the industry, still, today, the 79-year-old continues to provide entertainment for our film-loving pleasures. The Departed was released in 2006 with Jack Nicholson, Leonardo DiCaprio, Matt Damon and Mark Wahlberg (as well as many more great actors) star in the crime/drama. DiCaprio even called his only one-to-one scene with Nicholson as ""one of the most memorable moments of my life"". Scorsese described the film as one of the few he has directed which ""actually contains a plot"", as absurd as it may sound at first hearing, The Departed is a controlled picture which isn't forced, it understands the correct balance of speed in its depiction of the timeline and doesn't sway a favourable way. The watch is well-measured and keeps its audience enticed by its uncertainty and regular sharp turns. 5 Academy Award nominations and 4 wins, only Mark Wahlberg's Supporting Actor nod was turned away, the film picked up a total of 97 awards most notably for its sensational image and the magnificent, artistic work of Scorsese who catalysed the production's success. The writing in the play is infectious with clever exchanges implying nothing to its spectators, credit to the crew who unpicked Alan Mack and Felix Chong's thrilling Hong Kong picture Internal Affairs and adapted it into a trope of cinema.An Irish Mafia tale fuelled with excitement and amazement. 'Entertainment Weekly' put it on its end-of-the-decade ""Best of"" list, saying: ""If they're lucky, directors make one classic film in their career. Martin Scorsese has one per decade"".A signature Scorsese stunner strikes again!"
"66","The Departed","bob the moo","7 November 2006",NA,"The war between the police and the organised crime in Boston has reached new heights. Both Oliver Queenan and target #1 Frank Costello have placed a mole into each other's organisations. Billy Costigan is selected to infiltrate Costello's ranks thanks to a family background of criminals and working men, meanwhile Colin Sullivan has been groomed since youth to come up inside the ranks of the BPD. As Costigan makes progress it becomes clear to his police superiors that they too have a rat feeding information outwards. With only Frank knowing Sullivan's identity and Queenan and Dignam knowing Costigan's, a race begins with the first one to expose the other winning.Having enjoyed the original film, I was quite looking forward to this film and not really worried that Hollywood would mess it up. In a way it does deliver but it is hard to ignore the problems and failings in the film and if I didn't realise how IMDb put together their top 250 list, I would be amazed that the film is running so high up it. The original was a tight cop thriller which I remember thinking owed much to American cinema in style and tone, so surely America can only do it better? Well, if not better then this is certainly bigger, with stars oozing out of every pore, a big director and a long running time. In regards the latter, the film should be commended for moving slickly through the 150 minutes and not feeling as long as it is. The fact that it is cool, engaging and quite exciting will be enough for most audiences and indeed the sheer volume of positive votes on this site shows it has struck something of a chord, but this is not to say it is a classic and those putting it alongside Goodfellas are simply out of their trees.The script here tries to give more room for growth to the characters, to explore their feelings outside of the tension and fear of their situation. Unfortunately this produces many scenes that are a bit dull and unconvincing as they attempt to deepen the material. Specifically I am talking about the thread involving the girlfriend, her scenes add little and the dialogue in the session scenes is obvious and, as a Sopranos viewer, I was surprised by this. A secondary downside of this (although not totally to blame) is that it is not as gripping and claustrophobic as I would have liked. Yes it is thrilling at times but I wanted it to be consistent like a real cat'n'mouse game with the noose tightening palatably around each character's neck as they raced to hang the other first. The ending is also a little less effective than it should be because, added to the original's strong ending is an extra scene that doesn't have a strong foundation and is not as good as it should have been.Ironically for such a starry affair, some of the performances are a bit weak, and I'm thinking specifically of Damon. He never seems like the flipped version of Costigan and I never really got the feeling of him being trapped, panicked and hunted in the same way as his opposite number was. Conversely then DiCaprio is pretty strong and is convincing as he loses himself into Costello's gang of murderers. He works well alongside a scene-stealing Nicholson. At times he threatens to completely tip over into ham but for the most part he is just larger than life and provides a lot of energy to the film. This energy is harnessed well by director Scorsese who directs with this usual eye for a setup and also an enjoyable soundtrack. The use of sudden stops in the music and quick cuts is perhaps a bit much to get used to but it is strangely effective. The support cast is impressive in depth but they are not all that well used. Walhberg has all the best lines but it seems like he has wandered in from another movie at times and, funny as he was, he is never the developed and involved character that he needed to be for the way the narrative required. Baldwin is the same although he is more restrained and fits better, while Sheen is a nice touch of class. The woman playing the girlfriend is as weak as her material and although she did have an important part in the story, she adds very little beyond the writing on the page.Overall though, this is a strong and professional film and it is a shame that it isn't as good as I wanted. The attempts to paint detailed and complex characters makes it interesting but not as convincing as it needed to be  with Damon in particular left out there with little to work with in comparison to DiCaprio. The moments of slick tension and action are very good though and the only downside was that it made me wish for more of the same and that Scorsese had focused on keeping it tight and taut in the same way that the superior original had."
"67","The Departed","doomedmac","2 November 2020",910,"Amazing performances, action, script, production, and directing. Exactly what I expected from this amazing director."
"68","The Departed","dbborroughs","2 November 2006",710,"Remake of Infernal Affairs is not the second coming of the gangster film that some proclaimed it. It is a very good, if decidedly over long tale of cops battling robbers with moles on each side trying to remain hidden.The plot is simple, a cop is sent undercover in the mob at the same time a crook works his way into the police force. Complicating matters is the fact that the bosses on both sides quickly realize that a rat is among and they begin the search to ferret out the mole.The original Infernal Affairs is one of the better Hong Kong Films of the last ten years. Its a well told tale with some nice stylish twists. If the original has any flaws its that the film falls in love with itself in the second half and becomes a bit too showoffy. Thats not the case here, here the story has been refashioned and rethought into a gritty tale of Irish cops and robbers in Boston. Its different enough to discourage comparisons, which is a good thing in these days of shot for shot remakes.Martin Scorsese has fashioned a really good film. The cast is mostly excellent, with only Jack Nicholson ruining things with an occasional lapse into stereotypical ""Jackisms"". Leonardo DiCaprio has at last arrived as an actor and turns in an excellent performance as the cop gone deep undercover. His performance is sure to garner an Oscar nomination.I really liked this film but I didn't love it. The film carries a sense of having been down this road before, not because its a remake, as I said it different enough to rebuke comparison, rather its because it takes the gangster films of the past thirty years and compresses them together and has a very familiar feel. It reminded me of several other films about the Irish mobs, State of Grace in particular, so it didn't strike me as ground breaking the way The Godfather or Goodfellas did upon first seeing them.My one real complaint with the film is that it takes too log to get where its going. Yes its tense and it keeps you on the edge of your seat but when it was over I felt as though I had been watching it for twice its length. A good movie should fly by and make you lose track of time. I was checking my watch through out much of the second half of this movie.Definitely worth seeing, but I'm not sure you're going to love it, so much as you're going to like it.7 out of 10."
"69","The Departed","f-62204-72175","25 May 2023",1010,"This is definitely Martin Scorcese at it's finest. Something I must warn about is that this is not an ""action movie"" even though there are fight scenes and deaths it's not like a Jason Statham movie with the main character kicking everyone and easily beating his enemys, plus the action isn't the main focus. The main focus is the cat and mouse chase between the police informer and the mob informer, with many scenes that make you think that they will finally find the truth but end up failing. This movie is also full of twists and surprises that don't feel forced or random and actually make the story better. The acting is amazing but it was to expect because of the casting. And the direction, the soundtrack,everything is perfect in this movie. Truly one of the best movies of all time."
"70","The Departed","TheMovieDiorama","2 April 2018",710,"Now now, before you go and comment, dislike and lambast my opinion, hear me out. This is by no means a bad film, in fact it's better than good. Yet, a ludicrous amount of film aficionados deem this as one the best films from the last decade. I'm afraid I strongly disagree. An amateur Boston cop infiltrates an American Irish gang by following the chief mobster. On the flipside, a criminal from the gang infiltrates the police department and reports the status of the investigation back to the head honcho. It's a vintage crime story that thematically conveys the power of trust. Scorsese is back to what he does best, crafting intricate mafia crime thrillers fuelled by rich character development. The arcs of the leading individuals are fully realised and are played out like a methodical game of chess. Motives are shrouded in mystery, minds are tainted by corrupted ideologies. Scorsese brings in an A-list cast comprising of Damon, DiCaprio and the ever reliable Nicholson who essentially chews up every scene like he is devouring a piece of tender chicken. Monahan's screenplay consistently brings out the gritty Boston upbringing of these characters. It's a harsh environment that lures you into this convoluted world filled with rats and tyranny. Wahlberg's sarcastic banter was a much required element to what is a tough exterior. My reasoning for not rating this excruciatingly high is the narrative structure. There are no surprises in this, it's a ""thriller"" that doesn't excite me. Purposefully indicating who the informants are in both parties at the beginning means a large duration of the film becomes predictably unexciting. It's only at its conclusion that it mistakingly tries to be enthralling by shooting people in the head (literally!). Lazily underwhelming, especially after 140 minutes of character development. The Boston accents also came across extremely heavily from certain actors, particularly Farmiga as she exclaims ""harrrrrdest!"". A well constructed crime drama that unfortunately is weighted down by a mechanical narrative."
